Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023
leed sustainability,INR,50,0%,0%,Low,7,6.66,106.54,,,,,,,,,,,,,,,,,
ecological sustainability,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar panel power generation,INR,500,0%,0%,Low,13,7.21,23.60,,,,,,,,,,,,,,,,,
eco architecture,INR,500,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
sse wind,INR,5000,0%,900%,Low,1,8.21,125.69,,,,,,,,,,,,,,,,,
hydropower turbine,INR,5000,0%,0%,Low,2,0.94,19.54,,,,,,,,,,,,,,,,,
renewable companies,INR,5000,0%,900%,Low,18,17.48,72.74,,,,,,,,,,,,,,,,,
all renewable energy sources,INR,50,0%,0%,Low,7,20.46,166.47,,,,,,,,,,,,,,,,,
off grid hydro power,INR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
sdg affordable and clean energy,INR,500,0%,0%,Low,9,14.89,58.27,,,,,,,,,,,,,,,,,
sustainable operations,INR,500,0%,0%,Low,5,9.87,46.04,,,,,,,,,,,,,,,,,
sustainable power,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
photovoltaic power generation,INR,500,0%,0%,Low,1,4.40,41.13,,,,,,,,,,,,,,,,,
goal 17,INR,500,0%,0%,Low,2,98.22,202.26,,,,,,,,,,,,,,,,,
clean energy systems,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
ocean renewable energy,INR,50,900%,900%,Low,3,12.56,57.43,,,,,,,,,,,,,,,,,
biomass plant,INR,500,0%,0%,Low,3,6.66,57.28,,,,,,,,,,,,,,,,,
use of alternative energy sources,INR,500,0%,0%,Low,12,12.64,37.46,,,,,,,,,,,,,,,,,
aims of sustainable development,INR,5000,0%,0%,Low,6,14.98,84.48,,,,,,,,,,,,,,,,,
renewable energy generation,INR,500,0%,900%,Low,14,13.62,58.27,,,,,,,,,,,,,,,,,
solar rooftop installation,INR,500,0%,0%,Low,16,5.51,33.29,,,,,,,,,,,,,,,,,
fast fashion climate change,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
switch to renewable energy,INR,50,0%,0%,Low,4,17.57,39.12,,,,,,,,,,,,,,,,,
eco friendly projects,INR,500,0%,-90%,Low,1,9.81,45.31,,,,,,,,,,,,,,,,,
all types of renewable energy,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
geothermal electricity generation,INR,500,0%,0%,Low,3,6.66,42.03,,,,,,,,,,,,,,,,,
sustainable corporate governance,INR,500,-90%,0%,Low,10,11.65,33.53,,,,,,,,,,,,,,,,,
sustainable tourism practices,INR,50,900%,900%,Low,2,5.83,19.14,,,,,,,,,,,,,,,,,
renewable power sources,INR,50000,0%,0%,Low,17,14.79,34.13,,,,,,,,,,,,,,,,,
solar production,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
cost of renewable energy,INR,50,0%,0%,Low,5,15.81,58.27,,,,,,,,,,,,,,,,,
goal 7,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
packaging circular economy,INR,50,0%,0%,Low,7,,,,,,,,,,,,,,,,,,,
green sustainability,INR,500,0%,0%,Low,3,10.20,70.57,,,,,,,,,,,,,,,,,
environmental performance index 2022,INR,5000,0%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
eco friendly products for students,INR,500,0%,0%,Low,8,6.21,22.91,,,,,,,,,,,,,,,,,
solar pv inverter,INR,50,900%,900%,Low,25,5.70,9.16,,,,,,,,,,,,,,,,,
windmill energy production,INR,500,0%,0%,Low,11,7.49,33.62,,,,,,,,,,,,,,,,,
different renewable energy sources,INR,500,0%,0%,Low,20,16.53,38.29,,,,,,,,,,,,,,,,,
environmental business,INR,500,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
5 renewable energy sources,INR,500,0%,-90%,Low,4,15.45,51.19,,,,,,,,,,,,,,,,,
green economy and sustainable development,INR,500,0%,0%,Low,6,9.61,38.29,,,,,,,,,,,,,,,,,
solar energy production,INR,500,0%,0%,Low,7,8.46,58.27,,,,,,,,,,,,,,,,,
types of sustainable energy,INR,500,-90%,0%,Low,19,14.67,34.96,,,,,,,,,,,,,,,,,
ways to achieve sustainable development,INR,500,0%,0%,Low,14,11.65,29.13,,,,,,,,,,,,,,,,,
mini hydro power plant for home,INR,50,900%,0%,Low,26,0.83,13.41,,,,,,,,,,,,,,,,,
solar power grid,INR,500,0%,0%,Low,9,5.58,24.48,,,,,,,,,,,,,,,,,
eco marketing,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green development,INR,5000,0%,900%,Low,1,17.95,119.03,,,,,,,,,,,,,,,,,
uses of green hydrogen,INR,500,0%,0%,Low,25,13.32,69.09,,,,,,,,,,,,,,,,,
climate sustainability,INR,500,0%,0%,Low,10,9.99,16.92,,,,,,,,,,,,,,,,,
green energy systems,INR,500,0%,0%,Low,9,10.40,29.13,,,,,,,,,,,,,,,,,
sustainable world,INR,500,0%,0%,Low,4,17.83,156.99,,,,,,,,,,,,,,,,,
sustainable built environment,INR,500,-90%,0%,Low,6,6.23,19.77,,,,,,,,,,,,,,,,,
eco friendly practices in day to day life,INR,500,0%,0%,Low,2,1.66,15.50,,,,,,,,,,,,,,,,,
most sustainable countries,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable development growth,INR,500,0%,0%,Low,8,14.56,66.59,,,,,,,,,,,,,,,,,
solar clean energy,INR,500,0%,900%,Low,1,,,,,,,,,,,,,,,,,,,
national grid renewables,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
hydrogen from biomass,INR,500,0%,0%,Low,24,18.31,93.64,,,,,,,,,,,,,,,,,
self sustainability,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
environmental reporting,INR,500,0%,0%,Low,3,10.82,166.47,,,,,,,,,,,,,,,,,
renewable energy in agriculture,INR,500,0%,-90%,Low,10,15.81,55.99,,,,,,,,,,,,,,,,,
green business examples,INR,500,0%,900%,Low,1,,,,,,,,,,,,,,,,,,,
sustainable development in agriculture,INR,500,0%,0%,Low,11,14.57,41.62,,,,,,,,,,,,,,,,,
pros of solar power,INR,50,0%,0%,Low,4,1.66,58.27,,,,,,,,,,,,,,,,,
types of alternative energy,INR,50,0%,0%,Low,10,20.21,49.11,,,,,,,,,,,,,,,,,
goal 11,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
solar power photovoltaic,INR,500,0%,0%,Low,2,6.66,35.41,,,,,,,,,,,,,,,,,
eco friendly examples,INR,500,0%,0%,Low,1,9.15,1664.72,,,,,,,,,,,,,,,,,
biomass renewable energy,INR,500,0%,0%,Low,6,5.83,34.13,,,,,,,,,,,,,,,,,
sustainable land management,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
eco friendly projects for students,INR,500,0%,0%,Low,2,10.69,463.97,,,,,,,,,,,,,,,,,
short note on sustainable development,INR,5000,0%,0%,Low,3,12.45,28.72,,,,,,,,,,,,,,,,,
science for sustainable development,INR,500,0%,-90%,Low,9,11.62,24.25,,,,,,,,,,,,,,,,,
green public procurement,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
eco friendly energy,INR,500,0%,0%,Low,7,13.22,39.21,,,,,,,,,,,,,,,,,
environmental development,INR,5000,-90%,-90%,Low,1,12.31,28.55,,,,,,,,,,,,,,,,,
wind turbine offshore,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
renewable solutions,INR,50,0%,0%,Low,6,,,,,,,,,,,,,,,,,,,
best renewable energy source,INR,50,0%,0%,Low,13,14.67,46.61,,,,,,,,,,,,,,,,,
renewable energy 2022,INR,50,0%,-90%,Low,21,,,,,,,,,,,,,,,,,,,
list of renewable energy sources,INR,50,900%,0%,Low,12,17.75,40.51,,,,,,,,,,,,,,,,,
greenest cities in the world,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
sustainable renewable energy,INR,500,0%,0%,Low,18,9.34,22.11,,,,,,,,,,,,,,,,,
eco friendly things,INR,500,0%,0%,Low,1,8.98,24.69,,,,,,,,,,,,,,,,,
all renewable energy,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
environmental responsibility,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
zero waste fashion,INR,50,900%,0%,Low,1,,,,,,,,,,,,,,,,,,,
sustainable business council,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
sustainable development and environmental protection,INR,500,0%,0%,Low,5,13.32,26.79,,,,,,,,,,,,,,,,,
unilever sustainability,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
eco friendly tourism,INR,500,0%,0%,Low,1,11.66,25.80,,,,,,,,,,,,,,,,,
wind mill energy,INR,500,900%,0%,Low,7,8.04,41.62,,,,,,,,,,,,,,,,,
solar power generation system,INR,500,0%,0%,Low,16,8.35,33.29,,,,,,,,,,,,,,,,,
renewable and nonrenewable energy resources,INR,50000,0%,0%,Low,0,15.45,58.27,,,,,,,,,,,,,,,,,
renewable electricity sources,INR,500,0%,0%,Low,10,14.56,58.27,,,,,,,,,,,,,,,,,
wind power system,INR,500,0%,0%,Low,10,5.83,36.13,,,,,,,,,,,,,,,,,
go green initiative,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
sustainable rural development,INR,500,0%,0%,Low,5,11.47,85.73,,,,,,,,,,,,,,,,,
our common future,INR,5000,-90%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
green building architecture,INR,500,0%,0%,Low,10,14.43,81.39,,,,,,,,,,,,,,,,,
new wind turbine,INR,50,0%,0%,Low,15,13.32,33.54,,,,,,,,,,,,,,,,,
issues of sustainable development,INR,5000,-90%,0%,Low,5,13.32,29.97,,,,,,,,,,,,,,,,,
coca cola sustainability,INR,500,900%,0%,Low,0,,,,,,,,,,,,,,,,,,,
eco friendly construction,INR,500,0%,0%,Low,13,9.19,38.70,,,,,,,,,,,,,,,,,
sustainability analysis,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
global renewable energy,INR,50,0%,0%,Low,7,15.41,52.44,,,,,,,,,,,,,,,,,
sustainable things,INR,50,-90%,-90%,Low,3,2.12,20.81,,,,,,,,,,,,,,,,,
environmental impacts of tourism,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
hm conscious,INR,50,0%,0%,Low,11,,,,,,,,,,,,,,,,,,,
renewable heating,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
nature power wind turbine,INR,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
sustainable products initiative,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
goal 6,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
siemensgamesa,INR,50000,-90%,-90%,Low,0,31.99,58.97,,,,,,,,,,,,,,,,,
eco buildings,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
carbon neutral 2050,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
solar panels sustainability,INR,50,0%,0%,Low,7,5.83,39.12,,,,,,,,,,,,,,,,,
responsible business,INR,500,0%,0%,Low,1,5.83,635.92,,,,,,,,,,,,,,,,,
solar gas,INR,500,0%,0%,Low,1,0.82,0.99,,,,,,,,,,,,,,,,,
leed projects,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
solar energy generation,INR,500,0%,0%,Low,5,9.99,55.77,,,,,,,,,,,,,,,,,
solar energy resources,INR,500,0%,0%,Low,3,14.15,58.27,,,,,,,,,,,,,,,,,
renewable power generation,INR,500,0%,0%,Low,10,14.56,58.27,,,,,,,,,,,,,,,,,
bess renewable energy,INR,50,0%,0%,Low,6,49.94,119.03,,,,,,,,,,,,,,,,,
basic sciences for sustainable development,INR,500,0%,-100%,Low,6,,,,,,,,,,,,,,,,,,,
wind energy ppt,INR,500,0%,-90%,Low,1,13.32,33.51,,,,,,,,,,,,,,,,,
renew energy global,INR,50,-90%,0%,Low,4,13.05,58.27,,,,,,,,,,,,,,,,,
renewable energy sources ppt,INR,500,0%,0%,Low,6,13.26,33.29,,,,,,,,,,,,,,,,,
goal 14,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
erm sustainability,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
solar energy sustainability,INR,50,900%,0%,Low,14,10.31,39.12,,,,,,,,,,,,,,,,,
sustainable graphic design,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
water solar price,INR,5000,0%,0%,Low,22,1.25,30.09,,,,,,,,,,,,,,,,,
environmental and sustainability indicators,INR,50,-90%,0%,Low,2,14.98,47.58,,,,,,,,,,,,,,,,,
green building construction,INR,500,0%,0%,Low,9,9.42,94.62,,,,,,,,,,,,,,,,,
global goals week,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
biomass electricity,INR,500,0%,0%,Low,5,5.83,29.97,,,,,,,,,,,,,,,,,
geothermal power plants,INR,5000,0%,0%,Low,1,5.83,17.48,,,,,,,,,,,,,,,,,
wind turbine power generation,INR,500,0%,0%,Low,10,5.83,53.34,,,,,,,,,,,,,,,,,
eco friendly environment,INR,500,-90%,0%,Low,1,8.04,48.50,,,,,,,,,,,,,,,,,
sustainability awareness,INR,50,0%,0%,Low,6,7.26,19.62,,,,,,,,,,,,,,,,,
ministry of renewable energy,INR,5000,0%,0%,Low,1,12.36,49.94,,,,,,,,,,,,,,,,,
ikea sustainability,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal solutions,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
all renewable resources,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
siemens gamesa renewable energy as,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar energy electricity,INR,500,0%,0%,Low,5,12.56,49.53,,,,,,,,,,,,,,,,,
in solar,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
photovoltaic power,INR,500,0%,0%,Low,2,5.83,228.90,,,,,,,,,,,,,,,,,
sustainability of natural resources,INR,500,0%,0%,Low,6,14.43,22.28,,,,,,,,,,,,,,,,,
renewable energy production,INR,500,0%,0%,Low,12,15.82,41.62,,,,,,,,,,,,,,,,,
sustainable livelihoods,INR,500,0%,0%,Low,1,25.36,593.47,,,,,,,,,,,,,,,,,
renew green energy,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
tata power solar rooftop,INR,500,-90%,0%,Low,28,5.87,40.57,,,,,,,,,,,,,,,,,
renewable energy systems ltd,INR,500,0%,0%,Low,2,19.50,335.44,,,,,,,,,,,,,,,,,
renewable and non renewable energy sources,INR,500,0%,0%,Low,3,17.20,39.12,,,,,,,,,,,,,,,,,
sustainability efforts,INR,50,0%,0%,Low,4,18.75,239.72,,,,,,,,,,,,,,,,,
green procurement policy,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
sustainable environmental management,INR,500,0%,0%,Low,13,18.26,179.12,,,,,,,,,,,,,,,,,
sustainable earth,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
wind generated electricity,INR,500,900%,900%,Low,4,5.83,64.09,,,,,,,,,,,,,,,,,
global sustainability science,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
un ocean decade,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
net zero atlantic,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
solar power projects,INR,500,0%,0%,Low,8,7.22,24.05,,,,,,,,,,,,,,,,,
sustainability industry,INR,500,0%,0%,Low,7,13.32,112.59,,,,,,,,,,,,,,,,,
sustainable luxury,INR,50,0%,-90%,Low,1,,,,,,,,,,,,,,,,,,,
eco friendly practices,INR,500,0%,0%,Low,2,9.35,24.45,,,,,,,,,,,,,,,,,
eco conscious,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
eco sustainability,INR,50,0%,0%,Low,5,9.16,24.94,,,,,,,,,,,,,,,,,
goal 15,INR,500,-90%,0%,Low,1,,,,,,,,,,,,,,,,,,,
green hydrogen cost,INR,50,-90%,0%,Low,16,19.98,95.57,,,,,,,,,,,,,,,,,
electric wind turbine,INR,50,0%,0%,Low,9,5.83,20.98,,,,,,,,,,,,,,,,,
list of renewable and nonrenewable resources,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green hydrogen system,INR,500,0%,0%,Low,9,18.31,77.41,,,,,,,,,,,,,,,,,
sustainable and resilient infrastructure,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
list of renewable resources,INR,500,0%,0%,Low,6,23.65,44.12,,,,,,,,,,,,,,,,,
basic science for sustainable development challenges,INR,50,0%,-99%,Low,0,,,,,,,,,,,,,,,,,,,
bmw sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable energy technologies,INR,50,0%,0%,Low,21,10.31,29.13,,,,,,,,,,,,,,,,,
eco friendly city,INR,500,0%,900%,Low,1,,,,,,,,,,,,,,,,,,,
sustainable market,INR,50,0%,0%,Low,5,19.98,124.35,,,,,,,,,,,,,,,,,
renewable energy electricity,INR,50,0%,0%,Low,11,,,,,,,,,,,,,,,,,,,
aureus solar panel,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
cheapest renewable energy,INR,50,0%,0%,Low,5,15.29,51.61,,,,,,,,,,,,,,,,,
wind turbine renewable energy,INR,500,0%,0%,Low,5,15.63,41.64,,,,,,,,,,,,,,,,,
renewable technologies,INR,50,-90%,0%,Low,4,5.83,58.27,,,,,,,,,,,,,,,,,
sustainability defined,INR,5000,0%,0%,Low,2,10.82,242.22,,,,,,,,,,,,,,,,,
non conventional sources of energy,INR,50000,0%,0%,Low,0,15.07,73.68,,,,,,,,,,,,,,,,,
environmentally conscious,INR,5000,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
goal 12,INR,500,-90%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
eco friendly food,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green energy ppt,INR,500,0%,0%,Low,4,13.32,29.97,,,,,,,,,,,,,,,,,
solar wind power,INR,5000,0%,900%,Low,6,6.66,56.35,,,,,,,,,,,,,,,,,
renewable energy systems holdings limited,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
ey ccass,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
biomass power,INR,500,0%,0%,Low,3,5.83,46.63,,,,,,,,,,,,,,,,,
green energi,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
renewable energy plants,INR,500,-90%,0%,Low,4,12.68,31.63,,,,,,,,,,,,,,,,,
environmental goals,INR,50,0%,900%,Low,3,14.98,90.73,,,,,,,,,,,,,,,,,
hydroelectric power generator,INR,500,0%,0%,Low,14,0.66,32.17,,,,,,,,,,,,,,,,,
renewable energy systems americas inc,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
ministry of sustainability and the environment,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sdg 18,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
geothermal renewable energy,INR,500,0%,0%,Low,2,5.83,29.97,,,,,,,,,,,,,,,,,
wind energy and solar energy,INR,500,0%,0%,Low,6,6.66,44.95,,,,,,,,,,,,,,,,,
eco cities,INR,5000,0%,0%,Low,1,21.56,130.42,,,,,,,,,,,,,,,,,
renewable energy efficiency,INR,50,0%,0%,Low,15,9.81,28.30,,,,,,,,,,,,,,,,,
power sustainable,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,
large scale solar,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
human sustainability,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
new solar energy,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
environmental energy,INR,500,0%,-90%,Low,1,,,,,,,,,,,,,,,,,,,
sustainable use of natural resources,INR,500,0%,0%,Low,3,14.98,23.90,,,,,,,,,,,,,,,,,
microsoft sustainability,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sun green energy,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
ecofashion,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
mahadiscom solar rooftop,INR,500,0%,0%,Low,11,8.98,25.88,,,,,,,,,,,,,,,,,
environmentally friendly energy sources,INR,500,0%,0%,Low,13,16.54,39.12,,,,,,,,,,,,,,,,,
most efficient renewable energy,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
bci better cotton initiative,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
eco materials,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
7 types of renewable energy,INR,50,0%,0%,Low,9,16.89,45.78,,,,,,,,,,,,,,,,,
need of renewable energy,INR,500,0%,0%,Low,14,6.66,29.97,,,,,,,,,,,,,,,,,
be sustainable,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable development of natural resources,INR,500,0%,0%,Low,5,14.15,22.11,,,,,,,,,,,,,,,,,
renewable source of energy is,INR,5000,0%,0%,Low,5,16.65,40.79,,,,,,,,,,,,,,,,,
sustainable development is,INR,500,0%,0%,Low,3,13.25,30.06,,,,,,,,,,,,,,,,,
micro hydro system,INR,50,0%,0%,Low,7,,,,,,,,,,,,,,,,,,,
wind energy generation,INR,5000,0%,0%,Low,11,5.83,51.35,,,,,,,,,,,,,,,,,
gen z sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
alternative gas,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable ocean alliance,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainability partners,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
wind power station,INR,500,0%,0%,Low,2,7.87,81.57,,,,,,,,,,,,,,,,,
coca cola social responsibility,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
wind turbine with solar panels,INR,500,0%,0%,Low,11,1.09,19.14,,,,,,,,,,,,,,,,,
entrepreneurship and sustainability issues,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
living sustainably in harmony with nature,INR,500,-90%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
pros of geothermal energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
3 renewable resources,INR,500,-90%,0%,Low,0,,,,,,,,,,,,,,,,,,,
accenture carbon neutral,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable value creation,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
renewable energy consumption,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
pepsico sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
renewable energy power plant,INR,500,0%,0%,Low,7,14.38,46.56,,,,,,,,,,,,,,,,,
international year of sustainable mountain development,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
important of sustainable development,INR,50000,-90%,0%,Low,2,13.41,38.15,,,,,,,,,,,,,,,,,
renewable energy elsevier,INR,500,0%,0%,Low,1,29.50,41.92,,,,,,,,,,,,,,,,,
renewable energy devices,INR,50,0%,0%,Low,14,17.04,39.95,,,,,,,,,,,,,,,,,
wind energy sustainable development,INR,500,0%,0%,Low,13,5.83,32.60,,,,,,,,,,,,,,,,,
sustainable systems,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
sustainable consumption examples,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
environmental strategy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
nestle esg,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
economic globalization and sustainable development,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
renewable energy integration,INR,500,0%,900%,Low,6,6.66,34.96,,,,,,,,,,,,,,,,,
footprint packaging,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
cotton on sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
cultural sustainability,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
eco friendly design,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
responsible consumption,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
zero waste project,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainability performance,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
self sustainable living,INR,50,-90%,0%,Low,0,,,,,,,,,,,,,,,,,,,
biodiversity policy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
nonrenewable energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainability week 2022,INR,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
solar pv array,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
unilever esg,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sources of solar energy,INR,500,0%,0%,Low,3,16.00,58.27,,,,,,,,,,,,,,,,,
solar resources,INR,500,-90%,-90%,Low,1,,,,,,,,,,,,,,,,,,,
describe sustainable development,INR,500,0%,0%,Low,5,10.82,16.77,,,,,,,,,,,,,,,,,
solar energy store ltd,INR,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
nonrenewable energy sources,INR,500,900%,0%,Low,0,,,,,,,,,,,,,,,,,,,
biomass energy plant,INR,5000,0%,0%,Low,3,5.83,58.27,,,,,,,,,,,,,,,,,
sustainable use of resources,INR,500,0%,0%,Low,4,14.98,25.91,,,,,,,,,,,,,,,,,
green space sustainable development,INR,500,0%,0%,Low,3,6.66,25.80,,,,,,,,,,,,,,,,,
alternative of fossil fuels,INR,500,0%,0%,Low,13,12.12,34.37,,,,,,,,,,,,,,,,,
best energy source,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
biomass fuels,INR,500,0%,0%,Low,5,5.83,31.63,,,,,,,,,,,,,,,,,
sustainable development year,INR,500,0%,-90%,Low,2,12.49,29.97,,,,,,,,,,,,,,,,,
environmental responsibility examples,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainability is,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
wind power efficiency,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
substantial development,INR,500000,0%,0%,Low,9,10.82,24.14,,,,,,,,,,,,,,,,,
one renewable energy,INR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
ups sustainability,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
pgvcl solar rooftop price list,INR,500,0%,0%,Low,9,8.02,133.94,,,,,,,,,,,,,,,,,
clean and green energy,INR,500,0%,0%,Low,10,16.84,55.77,,,,,,,,,,,,,,,,,
types of geothermal energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
unsdsn,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
re sustainability,INR,5000,0%,900%,Low,0,7.13,53.25,,,,,,,,,,,,,,,,,
